PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Rodney Stuckey,IND,30,6-5,205,Eastern Washington,USA,2007,1,15,58,517,156,142,-0.3,1.50%,10.30%,20.20%,50.40%,17.90%
Rodney Hood,UTA,23,6-8,206,Duke,USA,2014,1,23,79,"1,149.00",267,213,3.1,1.60%,9.50%,21.50%,54.20%,14.20%
Robin Lopez,NYK,28,7-0,255,Stanford,USA,2008,1,15,82,842,602,114,-2.2,12.00%,14.50%,17.40%,57.40%,8.30%
Robert Sacre,LAL,27,7-0,270,Gonzaga,Canada,2012,2,60,25,87,72,14,-4.1,8.60%,12.40%,13.90%,47.40%,7.20%
Robert Covington,PHI,25,6-9,215,Tennessee State,USA,Undrafted,Undrafted,Undrafted,67,858,419,97,-7,3.10%,18.70%,20.90%,54.30%,8.30%
Ricky Rubio,MIN,25,6-4,194,None,Spain,2009,1,5,76,766,326,658,0.5,1.80%,12.40%,17.30%,52.90%,40.20%
Richaun Holmes,PHI,22,6-10,245,Bowling Green,USA,2015,2,37,51,287,135,33,-3.6,8.50%,10.40%,17.10%,56.40%,7.30%
Richard Jefferson,CLE,36,6-7,233,Arizona,USA,2001,1,13,74,410,128,59,-1.4,1.10%,8.50%,13.30%,58.50%,7.00%
Reggie Jackson,DET,26,6-3,208,Boston College,USA,2011,1,24,79,"1,489.00",253,492,2.5,2.20%,8.30%,28.30%,53.50%,34.40%
Reggie Bullock,DET,25,6-7,205,North Carolina,USA,2013,1,25,37,122,68,27,-7.3,3.00%,13.60%,11.30%,58.30%,10.00%
Raymond Felton,DAL,32,6-1,205,North Carolina,USA,2005,1,5,80,763,258,284,-1.6,1.70%,9.90%,17.90%,50.20%,20.50%
Ray McCallum,SAS,25,6-3,190,Detroit,USA,2013,2,36,41,137.00,47,60,2.1,1.60%,8.30%,16.40%,44.90%,18.50%
Raul Neto,UTA,24,6-1,179,None,Brazil,2013,2,47,81,476,120,174,3.3,1.20%,7.10%,17.20%,53.00%,19.00%
Rasual Butler,SAS,37,6-7,215,La Salle,USA,2002,2,52,46,124,56,24,7.3,0.80%,11.80%,12.30%,55.80%,7.90%
Rashad Vaughn,MIL,19,6-6,202,UNLV,USA,2015,1,17,70,217.00,88,39,-8.1,1.10%,7.70%,13.00%,39.80%,5.50%
Randy Foye,OKC,32,6-4,213,Villanova,USA,2006,1,7,81,474,156,161,1,1.40%,7.60%,15.70%,46.10%,14.40%
Ramon Sessions,WAS,30,6-3,190,Nevada-Reno,USA,2007,2,56,82,810,203,239,-1.4,1.50%,10.80%,21.40%,56.50%,22.80%
Rakeem Christmas,IND,24,6-9,250,Syracuse,USA,2015,2,36,1,4,1,0,-76.9,25.00%,0.00%,14.30%,100.00%,0.00%
Rajon Rondo,SAC,30,6-1,186,Kentucky,USA,2006,1,21,72,859.00,435,839,-2.8,3.00%,13.60%,18.60%,50.60%,47.30%
RJ Hunter,BOS,22,6-5,185,Georgia State,USA,2015,1,28,36,97,37,13,-4.2,0.60%,11.30%,15.00%,48.00%,6.80%
Quincy Acy,SAC,25,6-7,240,Baylor,USA,2012,2,37,59,307,188,27,-6,7.10%,13.90%,12.80%,62.90%,4.50%
Phil Pressey,POR,25,5-11,175,Missouri,USA,Undrafted,Undrafted,Undrafted,23,77,31,75,-6.4,0.90%,9.50%,17.40%,43.30%,39.50%
Paul Pierce,LAC,38,6-7,235,Kansas,USA,1998,1,10,68,417,186.00,71,1.2,1.00%,13.50%,17.70%,48.90%,8.80%
Paul Millsap,ATL,31,6-8,246,Louisiana Tech,USA,2006,2,47,81,"1,385.00",732,265,4,7.50%,18.90%,23.80%,55.60%,16.20%
